Media path: 'srt://:1234?latency=170' --> 'udp://224.0.0.1:2255'
Accepted SRT source connection
Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
1995,409183999,8192,8192,0,84.128,4000.01,1000,0,0,0,0,0,0,0,12,5521,158,0,306,148,7505928,210792,0,30.0851,170,0,0,0,0
5954,409183999,8192,8192,0,96.296,4925.38,1000,0,0,0,0,0,0,0,12,5136,0,0,0,0,6983644,0,0,14.1149,170,0,0,0,0
7685,409183999,8192,8192,0,81.435,4253.17,1000,0,0,0,0,0,0,0,12,4991,23,0,46,23,6786068,30314,0,31.3534,170,0,0,0,0
10086,409183999,8192,8192,0,85.414,3232.88,1000,0,0,0,0,0,0,0,12,4776,0,0,0,0,6494796,0,0,21.6445,170,0,0,0,0
12674,409183999,8192,8192,0,87.952,3956.76,1000,0,0,0,0,0,0,0,12,4948,34,0,68,34,6726836,44030,0,20.7911,170,0,0,0,0
15246,409183999,8192,8192,0,80.361,4248.46,1000,0,0,0,0,0,0,0,12,5431,2,0,1,1,7385784,2564,0,22.9689,170,0,0,0,0
17578,409183999,8192,8192,0,84.891,3622.64,1000,0,0,0,0,0,0,0,12,4704,0,0,0,0,6396688,0,0,21.9442,170,0,0,0,0
19805,409183999,8192,8192,0,85.092,4529.81,1000,0,0,0,0,0,0,0,12,4944,0,0,0,0,6721772,0,0,24.1554,170,0,0,0,0
22219,409183999,8192,8192,0,82.965,5023.26,1000,0,0,0,0,0,0,0,12,5283,0,0,0,0,7183752,0,0,23.799,170,0,0,0,0
24889,409183999,8192,8192,0,81.614,2917.66,1000,0,0,0,0,0,0,0,12,5133,0,0,0,0,6979376,0,0,20.9127,170,0,0,0,0
26645,409183999,8192,8192,0,98.659,4590.61,1000,0,0,0,0,0,0,0,12,4628,44,0,88,44,6293140,55484,0,28.6683,170,0,0,0,0
29990,409183999,8192,8192,0,83.348,4916.68,1000,0,0,0,0,0,0,0,12,5208,0,0,0,0,7081564,0,0,16.9401,170,0,0,0,0
31773,409183999,8192,8192,0,81.759,3504.96,1000,0,0,0,0,0,0,0,12,4944,0,0,0,0,6722712,0,0,30.16,170,0,0,0,0
33798,409183999,8192,8192,0,84.368,4000.01,1000,0,0,0,0,0,0,0,12,4824,0,0,0,0,6560640,0,0,25.9149,170,0,0,0,0
36007,409183999,8192,8192,0,80.369,3038.63,1000,0,0,0,0,0,0,0,12,5322,0,0,0,0,7234348,0,0,26.2023,170,0,0,0,0
37863,409183999,8192,8192,0,84.275,4627.45,1000,0,0,0,0,0,0,0,12,4634,0,0,0,0,6301488,0,0,27.1588,170,0,0,0,0
40631,409183999,8192,8192,0,94.364,4688.75,1000,0,0,0,0,0,0,0,12,4924,0,0,0,0,6696452,0,0,19.3578,170,0,0,0,0
43196,409183999,8192,8192,0,84.579,4869.58,1000,0,0,0,0,0,0,0,12,5304,0,0,0,0,7211184,0,0,22.4898,170,0,0,0,0
45515,409183999,8192,8192,0,82.387,5000,1000,0,0,0,0,0,0,0,12,5208,5,0,5,0,7081564,6305,0,24.4296,170,0,0,0,0
48003,409183999,8192,8192,0,87.664,4500,1000,0,0,0,0,0,0,0,12,4637,0,0,5,5,6304064,0,0,20.2698,170,0,0,0,0
50491,409183999,8192,8192,0,81.963,4203.83,1000,0,0,0,0,0,0,0,12,5163,0,0,0,0,7018672,0,0,22.5664,170,0,0,0,0
52327,409183999,8192,8192,0,80.525,4651.16,1000,0,0,0,0,0,0,0,12,5061,0,0,0,0,6882020,0,0,29.9948,170,0,0,0,0
54897,409183999,8192,8192,0,81.032,3811.78,1000,0,0,0,0,0,0,0,12,5016,0,0,0,0,6821384,0,0,21.2322,170,0,0,0,0
56510,409183999,8192,8192,0,80.876,4378.38,1000,0,0,0,0,0,0,0,12,4896,0,0,0,0,6656304,0,0,33.008,170,0,0,0,0
59786,409183999,8192,8192,0,82.532,4186.06,1000,0,0,0,0,0,0,0,12,5064,0,0,0,0,6884784,0,0,16.8147,170,0,0,0,0
61617,409183999,8192,8192,0,80.766,3393.95,1000,0,0,0,0,0,0,0,12,5208,0,0,0,0,7079308,0,0,30.9241,170,0,0,0,0
63122,409183999,8192,8192,0,82.774,4769.23,1000,0,0,0,0,0,0,0,12,4584,0,0,0,0,6233488,0,0,33.1417,170,0,0,0,0
65497,409183999,8192,8192,0,85.327,4941.18,1000,0,0,0,0,0,0,0,12,4992,0,0,0,0,6787992,0,0,22.8663,170,0,0,0,0
67633,409183999,8192,8192,0,83.739,4186.06,1000,0,0,0,0,0,0,0,12,5016,18,0,0,0,6821008,22698,0,25.5389,170,0,0,0,0
71438,409183999,8192,8192,0,85.817,4851.07,1000,0,0,0,0,0,0,0,12,5280,0,0,0,0,7178356,0,0,15.0915,170,0,0,0,0
73590,409183999,8192,8192,0,83.156,3741.18,1000,0,0,0,0,0,0,0,12,4944,0,0,0,0,6723840,0,0,24.9977,170,0,0,0,0
75511,409183999,8192,8192,0,81.632,3582.1,1000,0,0,0,0,0,0,0,12,4992,0,0,0,0,6787428,0,0,28.2652,170,0,0,0,0
77856,409183999,8192,8192,0,83.839,4538.47,1000,0,0,0,0,0,0,0,12,5016,0,0,0,0,6819880,0,0,23.2712,170,0,0,0,0
80750,409183999,8192,8192,0,82.933,4832.22,1000,0,0,0,0,0,0,0,12,5040,0,0,0,0,6853836,0,0,18.9472,170,0,0,0,0
82462,409183999,8192,8192,0,93.267,4901.41,1000,0,0,0,0,0,0,0,12,4665,9,0,18,9,6340640,11349,0,29.6164,170,0,0,0,0
84639,409183999,8192,8192,0,81.388,4556.96,1000,0,0,0,0,0,0,0,12,5483,36,0,48,24,7454812,45396,0,27.4032,170,0,0,0,0
86243,409183999,8192,8192,0,80.96,3436.9,1000,0,0,0,0,0,0,0,12,4889,64,0,152,76,6646220,80704,0,33.1396,170,0,0,0,0
87852,409183999,8192,8192,0,81.447,4313.74,1000,0,0,0,0,0,0,0,12,5016,0,0,0,0,6818564,0,0,33.9169,170,0,0,0,0
90710,409183999,8192,8192,0,82.805,4585.99,1000,0,0,0,0,0,0,0,12,4920,0,0,0,0,6688004,0,0,18.72,170,0,0,0,0
92685,409183999,8192,8192,0,81.285,3955.31,1000,0,0,0,0,0,0,0,12,5040,0,0,0,0,6853648,0,0,27.762,170,0,0,0,0
95060,409183999,8192,8192,0,81.833,4222.22,1000,0,0,0,0,0,0,0,12,4957,0,0,0,0,6739828,0,0,22.7016,170,0,0,0,0
96716,409183999,8192,8192,0,80.453,4433.12,1000,0,0,0,0,0,0,0,12,5233,62,0,124,11,7115000,78182,0,34.3697,170,0,0,0,0
98949,409183999,8192,8192,0,96.563,5095.9,1000,0,0,0,0,0,0,0,12,4611,0,0,0,0,6269832,0,0,22.4619,170,0,0,0,0
101631,409183999,8192,8192,0,81.425,3934.43,1000,0,0,0,0,0,0,0,12,5345,0,0,0,0,7268824,0,0,21.6816,170,0,0,0,0
103386,409183999,8192,8192,0,82.611,4800,1000,0,0,0,0,0,0,0,12,5022,22,0,66,44,6825032,27742,0,31.1136,170,0,0,0,0
105137,409183999,8192,8192,0,80.201,5142.86,1000,0,0,0,0,0,0,0,12,5034,0,0,0,0,6844548,0,0,31.2737,170,0,0,0,0
106841,409183999,8192,8192,0,80.021,5244.46,1000,0,0,0,0,0,0,0,12,5077,13,0,26,13,6903216,16393,0,32.4074,170,0,0,0,0
108989,409183999,8192,8192,0,84.171,4509.56,1000,0,0,0,0,0,0,0,12,4879,55,0,110,55,6634500,69355,0,24.701,170,0,0,0,0
111099,409183999,8192,8192,0,79.402,3911.6,1000,0,0,0,0,0,0,0,12,5147,66,0,197,131,6999732,83226,0,26.5394,170,0,0,0,0
113105,409183999,8192,8192,0,80.447,4657.9,1000,0,0,0,0,0,0,0,12,5064,0,0,0,0,6887040,0,0,27.4671,170,0,0,0,0
115261,409183999,8192,8192,0,83.31,4179.78,1000,0,0,0,0,0,0,0,12,5109,0,0,0,0,6945796,0,0,25.7778,170,0,0,0,0
117134,409183999,8192,8192,0,86.808,2912.14,1000,0,0,0,0,0,0,0,12,4515,0,0,0,0,6139272,0,0,26.2208,170,0,0,0,0
120107,409183999,8192,8192,0,82.228,4546.58,1000,0,0,0,0,0,0,0,12,5376,0,0,0,0,7310608,0,0,19.6703,170,0,0,0,0
121686,409183999,8192,8192,0,80.963,3437.51,1000,0,0,0,0,0,0,0,12,4972,52,0,104,52,6759288,65572,0,34.2524,170,0,0,0,0
124152,409183999,8192,8192,0,81.027,3745.67,1000,0,0,0,0,0,0,0,12,4992,0,0,0,0,6787616,0,0,22.023,170,0,0,0,0
125731,409183999,8192,8192,0,83.459,4118.35,1000,0,0,0,0,0,0,0,12,5050,130,0,260,130,6865932,163930,0,34.7896,170,0,0,0,0
127652,409183999,8192,8192,0,80.692,4783.79,1000,0,0,0,0,0,0,0,12,5336,8,0,16,8,7255832,10088,0,30.2165,170,0,0,0,0
